DATE,2G JAKARTA RAYA,2G JAVA,2G KALISUMAPA,2G SUMATERA,2G NATIONAL,2G JAKARTA RAYA MW,2G JAVA MW,2G SUMATERA MW,2G NATIONAL MW,2G JAKARTA RAYA SP,2G JAVA SP,2G KALISUMAPA SP,2G SUMATERA SP,2G NATIONAL SP,2G Blended 75 Sites MW,2G Blended 75 Sites SP,2G Blended 75 Sites,4G JAKARTA RAYA,4G JAVA,4G KALISUMAPA,4G SUMATERA,4G NATIONAL,4G JAKARTA RAYA MW,4G JAVA MW,4G SUMATERA MW,4G NATIONAL MW,4G JAKARTA RAYA SP,4G JAVA SP,4G KALISUMAPA SP,4G SUMATERA SP,4G NATIONAL SP,4G Blended 75 Sites MW,4G Blended 75 Sites SP,4G Blended 75 Sites,Threshold
12-Jul-25,0.995666421,0.997711538,0.997637216,0.989972201,0.995192538,0.995155007,0.997712138,0.99484803,0.995910265,0.997856521,0.997710516,0.997637216,0.987821651,0.994008668,0.993252871,0.997691805,0.994297236,0.998436018,0.998923708,0.99887346,0.997621173,0.998439207,0.998224037,0.999030583,0.9987635,0.998499888,0.999594611,0.998672565,0.99887346,0.996987601,0.998301694,0.9956891,0.997209657,0.995930553,0.997
13-Jul-25,0.995992881,0.99687927,0.999009994,0.991784869,0.99550864,0.995495519,0.996357508,0.995969933,0.995808391,0.998122388,0.997768781,0.999009994,0.989944954,0.995014784,0.990848264,0.983711732,0.9891692,0.998652255,0.998223775,0.999416263,0.997834687,0.998409441,0.998504332,0.998073071,0.999127088,0.998440305,0.999460755,0.998578283,0.999416263,0.997121017,0.998339655,0.997389836,0.987168885,0.995770852,0.997
14-Jul-25,0.994692388,0.99799433,0.994709681,0.988279034,0.994378323,0.99437388,0.997746625,0.991749189,0.995146913,0.996055315,0.998416677,0.994709681,0.986753985,0.99311245,0.985246823,0.969810112,0.981614906,0.998076132,0.999071621,0.997599498,0.996996917,0.998146307,0.997974169,0.999009299,0.998151109,0.998281155,0.998633464,0.999217954,0.997599498,0.99635967,0.997841363,0.994697007,0.983353216,0.992893786,0.997
15-Jul-25,0.994868124,0.997013051,0.992657274,0.986916584,0.993804315,0.994416071,0.99699313,0.994819223,0.995249486,0.996801543,0.997047011,0.992657274,0.983444424,0.991424938,0.968684652,0.875614038,0.946782599,0.99789052,0.998696656,0.996706083,0.996437635,0.997820312,0.997713171,0.998798386,0.997869639,0.998032124,0.998859837,0.998457638,0.996706083,0.995643319,0.997340964,0.976287607,0.922670108,0.967964101,0.997
16-Jul-25,0.99429092,0.997330809,0.992777932,0.985431368,0.993338221,0.993820705,0.99753342,0.984717293,0.994046135,0.996301508,0.996985246,0.992777932,0.985744844,0.992172814,0.986161206,0.97933987,0.984556312,0.99780736,0.999029143,0.996707265,0.996838655,0.997941282,0.997688156,0.999224969,0.998040431,0.99815188,0.998458922,0.99856871,0.996707265,0.996174327,0.99746492,0.996421,0.980774672,0.993957248,0.997
17-Jul-25,0.99314392,0.997555028,0.995269722,0.990257529,0.993968601,0.992004348,0.99789495,0.992873203,0.993903031,0.998019786,0.996975655,0.995269722,0.989108537,0.994076621,0.981487475,0.980889528,0.981346791,0.996666595,0.999023194,0.998239679,0.997093356,0.997442396,0.996201545,0.999132875,0.997689143,0.997160273,0.999211041,0.998765615,0.998239679,0.996764901,0.998080333,0.985572507,0.967441258,0.9827163,0.997
18-Jul-25,0.995949829,0.997977632,0.998313338,0.992168208,0.995880759,0.995299288,0.997738003,0.993473559,0.995870659,0.998730776,0.998386026,0.998313338,0.99160741,0.995897354,0.990513259,0.949734283,0.980918883,0.998128663,0.999045923,0.998393969,0.997303488,0.998243189,0.997872017,0.999115465,0.998203005,0.998251153,0.999533628,0.998882701,0.998393969,0.996807941,0.998225195,0.982701352,0.957106486,0.978718202,0.997
19-Jul-25,0.995740143,0.997487169,0.99775438,0.987359408,0.994624225,0.995578409,0.997963984,0.992050692,0.995956707,0.996431958,0.996674534,0.99775438,0.985298746,0.992429113,0.972761498,0.953359766,0.968196707,0.998079927,0.998905502,0.998927523,0.996743441,0.998095878,0.997948465,0.999007607,0.998940822,0.998336037,0.99880224,0.998665558,0.998927523,0.995527111,0.997550849,0.977178326,0.978456066,0.977376409,0.997
20-Jul-25,0.996670839,0.997706103,0.998640431,0.98611013,0.994890766,0.996181391,0.997759638,0.99344309,0.996390949,0.998764889,0.997614868,0.998640431,0.982887478,0.992418517,0.985030235,0.952952037,0.977483041,0.998443346,0.998853206,0.999360966,0.996255876,0.998201154,0.998247174,0.998874817,0.998828383,0.998474941,0.999519978,0.998802424,0.999360966,0.99487303,0.997580055,0.990993967,0.971225436,0.987921738,0.997
21-Jul-25,0.995562103,0.997995525,0.99788031,0.990229822,0.99529154,0.995029836,0.998452886,0.9930101,0.995879167,0.997837545,0.997216124,0.99788031,0.989008397,0.994323778,0.991128637,0.938699967,0.978793318,0.998071767,0.999102128,0.999166496,0.997473729,0.998282972,0.997898615,0.999065693,0.998805414,0.998309167,0.999019946,0.999187768,0.999166496,0.996737756,0.99822366,0.994369559,0.992916544,0.994147814,0.997
